"Id","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2H92000000DwFuEAK","false","SC-000012466","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","a2F92000001ZWcwEAG","1.01","nCino__Covenants_Table","","","All Covenants","42896896229317822","LLC_BI__Covenant2__c","","","false","","false"
"a2H92000000DwFvEAK","false","SC-000012467","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWcxEAG","1.01","nCino__Covenant_Creation","","","Covenant Create","42506645535828753","LLC_BI__Covenant2__c","","","false","","false"
"a2H92000000DwFwEAK","false","SC-000012468","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWcyEAG","1.01","nCino__Covenant_Details","","","Covenant Details","42329452184005989","LLC_BI__Covenant2__c","","","false","","false"
"a2H92000000DwFxEAK","false","SC-000012469","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWczEAG","1.01","nCino__Covenant_Edit","","","Covenant Edit","42235254972455879","LLC_BI__Covenant2__c","","","false","","false"
"a2H92000000DwFyEAK","false","SC-000012470","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWd0EAG","1.01","","","","Covenant Edit Active","42409037240919402","LLC_BI__Covenant2__c","","","false","","false"
"a2H92000000DwFzEAK","false","SC-000012471","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWd1EAG","1.01","LLC_BI__ReviewDisplay","","","Covenant Associate","42270950542676642","LLC_BI__Loan__c","","","false","","false"
"a2H92000000DwG0EAK","false","SC-000012472","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWd2EAG","1.01","nCino__Compliance_Summary_Table","","","Covenant Compliance Table","42153212340961965","LLC_BI__Covenant_Compliance2__c","","","false","","false"
"a2H92000000DwG1EAK","false","SC-000012473","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWd2EAG","1.01","nCino__Compliance_Summary_Table_FI","","","Covenant Compliance Table FI","42812691252820507","LLC_BI__Covenant_Compliance2__c","","","false","","false"
"a2H92000000DwG2EAK","false","SC-000012474","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWd3EAG","1.01","nCino__Associated_Loans_Summary_Table","","","Covenant Associated Loans","42556177818817285","LLC_BI__Loan__c","","","false","","false"
"a2H92000000DwG3EAK","false","SC-000012475","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","a2F92000001ZWd4EAG","1.01","nCino__Covenants_Table","","","All Covenants","42493673352642030","LLC_BI__Covenant2__c","","","false","","false"
"a2H92000000DwG4EAK","false","SC-000012476","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWd5EAG","1.01","nCino__Covenant_Creation","","","Covenant Create","42322606752896327","LLC_BI__Covenant2__c","","","false","","false"
"a2H92000000DwG5EAK","false","SC-000012477","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWd6EAG","1.01","nCino__Covenant_Details","","","Covenant Details","42146930580267910","LLC_BI__Covenant2__c","","","false","","false"
"a2H92000000DwG6EAK","false","SC-000012478","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWd7EAG","1.01","nCino__Covenant_Edit","","","Covenant Edit","42038549748570376","LLC_BI__Covenant2__c","","","false","","false"
"a2H92000000DwG7EAK","false","SC-000012479","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWd8EAG","1.01","","","","Covenant Edit Active","42590730985946620","LLC_BI__Covenant2__c","","","false","","false"
"a2H92000000DwG8EAK","false","SC-000012480","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWd9EAG","1.01","LLC_BI__ReviewDisplay","","","Covenant Associate","42254846185609999","LLC_BI__Loan__c","","","false","","false"
"a2H92000000DwG9EAK","false","SC-000012481","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWdAEAW","1.01","nCino__Compliance_Summary_Table","","","Covenant Compliance Table","42879078692969765","LLC_BI__Covenant_Compliance2__c","","","false","","false"
"a2H92000000DwGAEA0","false","SC-000012482","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWdAEAW","1.01","nCino__Compliance_Summary_Table_FI","","","Covenant Compliance Table FI","42655522496150409","LLC_BI__Covenant_Compliance2__c","","","false","","false"
"a2H92000000DwGBEA0","false","SC-000012483","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","a2F92000001ZWdBEAW","1.01","nCino__Associated_Loans_Summary_Table","","","Covenant Associated Loans","42124741834450772","LLC_BI__Loan__c","","","false","","false"
